A+ Nursery,A+ Nursery produces a huge variety of landscaping plants with a specialty in edible landscaping.,
Crescent Farm,"Crescent Farm, formerly known as Parsons Produce, is a three and a half acre vegetable farm located just south of Clinton, South Carolina. What they lack in size they make up for in diversity. Space is efficiently utilized in order to grow all of your favorite vegetables and a few you’ve never tried before. Organic practices are used to produce high quality, delicious vegetables by Margie Levine and her farm crew. Crescentfarmsc.com",
Daylilies LLC,"Lannie, with Daylilies, takes the freshest fruits and veggies from the TD Saturday Market each week and turns them into jams, jellies, pepper jellies, salsas, marinara sauces, relishes and various other special products. Each concoction provides a tasty combination of flavors, some new, some tried and true. Made in small dated batches from fresh, local ingredients, once you try Daylilies’ products you’ll never be satisfied with the common grocery-store types again. Daylilygardenssc.com",https://www.facebook.com/daylilygardens/
Denny's Urban Logging,Hand crafted wooden products made from locally sourced materials.,
Donovan Pottery,"Donovan Pottery specializes in creating handmade porcelain and stoneware pottery. His pieces incorporate a wide variety of influences, which take the form of highly-crafted, functional and decorative objects. Donovanpottery.com",https://www.facebook.com/donovanpottery
Douglas's Japanese Maples,"Offering a variety of landscaping trees, plants and grasses with a focus on Japanese maple trees.",
Earth Blooms Inc.,"Earth Blooms delivers fresh cut flowers and herbs to the market. They apply sustainable techniques on the farm with the belief that quality is much more important than quantity. It is through their techniques as gardeners and growers that Earth Blooms hope to minimize the impact on the environment and educate folks to a more sustainable way of thinking. Earthblooms.net",https://www.facebook.com/pages/Earth-Blooms-Flower-Farm/147806511949527
Earthen Organics,"Earthen Organics is a family owned and operated business, producing quality worm castings (organic soil amendment) in Upstate South Carolina. Worm castings are a natural soil amendment that you add to the soil when planting or brew into a tea to spray on plants. With small amounts mixed into the soil, plants grow larger and healthier. Earthenorganics.com",https://www.facebook.com/Earthen-Organics-308874999289150/
Fowler Farms,"Small family farm specializing in local fruits, vegetables and flowers.",
Gentry Farms,"Gentry Farms is a family-owned and operated blueberry farm that strives to provide fresh and organic fruits. The farm is clean and maintained by hand with care to ensure that the blueberries do not need pesticides. They feature over 2,200 bushes and seven different varieties of blueberries. Gentryfarmssc.com",https://www.facebook.com/pages/Gentry-Farms/392608677465801
Gibson Farms,"Gibson Farms is a 3rd generation, USDA Certified Organic beef farm. Their animals are 100% grass fed and no hormones or antibiotics are used in raising the animals - just good grass, water & sunshine as nature intended. In addition, Gibson Farms is proud to be Animal Welfare Approved (AWA). Farmers who earn the AWA seal benefit from having a third-party verification of their high-welfare practices & consumers benefit by knowing that the humane label means what it says. Gibsonfarmsorganicbeef.com",
Great Harvest Bread Co.,"Great Harvest Bread Company produces phenomenal tasting whole grain breads and bakery treats made from scratch, daily, authentically, with a smile. Chemical and additive free. Nutritious. Fresh and flavorful. Pure and simple. Warm and satisfying. Sweet and savory. Gifts from the heart. Your neighborhood bakery. Carolinabreadheads.com",https://www.facebook.com/pages/Great-Harvest-Bread-Company-Greenville-SC/373859710725?sk=info&tab=overview
Green River Picklers,"Green River Picklers strives to produce the highest quality pickled vegetables using the simplest and most sustainable means. Their pickles are locally sourced, consciously produced and hand-packed in small batches. They aim to pay tribute to their southern heritage by continuing family traditions & preserving local food, while continuously fostering growth in the community. Grpicklers.com",https://www.facebook.com/GreenRiverPicklers
Greenbrier Farms,"Greenbrier Farms believes if you give back to the land, the land will give back. They raise clean grass and soil rid of herbicides and pesticides. That in turn feeds their animals and fertilizes their garden. That then turns into a delicious tomato sandwich or an unforgettable steak, all the while never stripping away from the land, harming the animals or compromising your health. Their garden yields seasonal greens, vegetables and herbs as well as a variety of beef, chicken and pork cuts. Greenbrierfarms.com",
Greenhouse Pottery,"Carol Henkels has been throwing and hand-building pottery for 15 years, drawing inspiration from nature and the long tradition of clay in the Carolinas. Functionality is a key component of her work -- useable art is her goal!",
Growing Green Family Farms,"Growing Green Family Farms provides fresh produce and micro greens. They have taken plant cleanliness a whole step further by eliminating all pesticides, herbicides, and other sprays from their growing environments. Growinggreenfamilyfarms.com",https://www.facebook.com/ggfamiliyfarms
Henson Farms,"Henson Farms is a family run farm located in Marietta, South Carolina, specializing in landscaping plants, grasses and shrubs.",
"Herb & Earth: Home Grown, Hand Made, Healing","Herb & Earth aims to provide a luxurious, restorative bath and beauty experience using organic ingredients derived straight from our healing source- earth. Herb & Earth uses as many local ingredients as possible, including goat milk, beer, wine, honey, beeswax, herbs, vegetables, fruits and more.",https://www.facebook.com/pages/Herb-Earth-Home-Grown-Hand-Made-Healing/251367601715005?fref=ts
High Valley Farm,"High Valley Farm believes everyone should know where their food comes from. That’s why the family owned farm was created, and why they take such pride in not only knowing where their bounty comes from, but that their growing practices are earth sustainable. The 70 acre farm, located in Pickens county, SC, specializes in growing natural, spring water raised trout in the mountains of South Carolina. They also offer a wide variety of fresh vegetables from the foot of the mountains, free range eggs, and most importantly, friendly farmer know how. Highvalleyfarmsc.com",https://www.facebook.com/highvalleyfarmsc
Historic Greenville Cards & Prints,"It's all dots! Pen & Ink dots by the thousands, placed by hand one at a time. The technique is called stipple. In painting it is called pointillism. Crandallstudio.com",https://www.facebook.com/pages/Patricia-McCorkle-Crandallcrandallstudiocom/246627525393651?sk=timeline
Holliday's Veggie Patch,"Holliday's Veggie Patch is a family-run conventional farm, located in Belton, SC, owned and managed by Andy Holliday. Currently, the farm consists of approximately 40 acres of cultivated land. During the growing season, their produce can be purchased at various places throughout the Upstate. Hollidaysveggiepatch.com",https://www.facebook.com/pages/Hollidays-Veggie-Patch/213694275397841
Humble Roots,"Humble Root's Spreadable Edibles is Steven Reid's line of fine pimento cheeses. Steven is a trained chef with a passion for traditional southern foods. His idea to create the Humble Roots line of Spreadable Edibles fine pimento cheeses all started with his grandmother's original recipe. From there he created the Spicy Jalapeno and Smoked Gouda Goat. All the cheeses are made here in Greenville with fresh ingredients and are gluten free. Humblerootshospitality.com",https://www.facebook.com/humblerootsspreadableedibles
Hurricane Creek Farms,"Hurricane Creek Farms focus is on sustainably grown, hydroponic produce. Currently, they are growing several types of lettuce year-round and tomatoes, bell peppers, basil, beets, potatoes and cucumbers. In addition, they are grinding both yellow and white cornmeal and grits on their newly installed grist mill from Meadows Mills. Hurricanecreekfarms.com",https://www.facebook.com/HurricaneCreekFarms
Iszy's Heirloom Veggies,"Jeff Isbell, of Iszy's Heirloom Veggies is an experienced chef and became a farmer over 10 years ago. He specializes in heirloom tomatoes.",https://www.facebook.com/pages/Iszys-Heirlooms-Veggies/228962683781270?sk=info&tab=overview
Jackson Farms II,"Jackson Farms II is a homegrown, locally owned family farm that has been serving the Upstate of South Carolina for more than 20 years. Farmed by Robert E. Jackson Sr. and managed by Robert E. Jackson II, the one 100-acre farm produces a diverse variety of fruits, vegetables and cut flowers, including peaches, potatoes, onions, tomatoes, okra, watermelon and squash and much more. Jacksonfarmsii.com",
King of Pops,"King of Pops makes the best pops around featuring traditional as well as new, fun flavors. Their emphasis is on local and organic ingredients, for a healthy, top quality treat. Greenville.kingofpops.net",https://twitter.com/kingofpopsgvl
Kuka Juice,"Kuka Juice is not your typical juice bar; their cold-pressed juicing method allows you to receive 3-5 times more vitamins and nutrients than your typical fresh juice. Kuka Juice aims to provide fresh, delicious, cold-pressed juices, in order to promote healthy and happy lifestyles to people of all walks of life. The majority of their fruits and vegetables are from local farms and secondarily from organic suppliers. Kukajuice.com",https://www.facebook.com/kukajuicegreenville
Lanherne Farm,"Lanherne Farm is a small farm in Greenville County, SC established by David Gilbert in 2007, which grows more than 200 varieties of peppers from over forty different countries. They utilize only sustainable, natural growing methods without man-made chemical fertilizers or herbicides to produce an abundance of chiles from early July until November. As a ""Certified SC Grown"" operation, Lanherne Farm provides the absolute freshest, hand-picked produce available anywhere. The award-winning farm has been featured in several magazines and has been the host of the ""Carolina-Caribbean Pepper Research Project"" since 2008, which endeavors to bring obscure yet terrific tasting peppers to the marketplace. Lanherne Farm also offers an exclusive 12 Pepper Assortment of the absolute hottest chiles in the world. The farm also grows a large number of hard to find seasoning peppers from South America and the Caribbean which enable chefs to create authentic ethnic dishes utilizing the same chiles that would be used by cooks in their native countries. You can also find some of the sweetest peppers in the world for sale exclusively under their tent at the TD Saturday Market, along with cucumbers, eggplant and lemongrass. Freshness and customer satisfaction are always guaranteed by Lanherne Farm.",
LaRue Fine Chocolate,"A purveyor of handcrafted, small-batch, artisan chocolates using only the finest ingredients. Features local ingredients such as Bee Well honey and Happy Cow Creamery butter. Laruefinechocolate.com",https://www.facebook.com/laruefinechocolate?fref=ts
Marble Branch Farms,"Marble Branch Farms is the dream of two lifelong horticulturists, Gary Alan Collier and Mark Alan Reinke, who share a mutual passion for unique and unusual plants. Their goal as orchid hybridizers has been to produce something a little different from the same old hybrids. Marblebranchfarms.com",
Marvelous Pies,"Marvelous Pies was established in September 2009. They believe in providing customers with local, seasonal desserts baked with ingredients sourced from Upstate farms. Each purchase from Marvelous Pies allows their customers the opportunity to personally support South Carolina’s local agriculture and small businesses.",https://www.facebook.com/MarvelousPiesCatering
May Farms,"May Farms is owned and operated by Ralph ""Buddy"" May Jr., a double master beekeeper. Buddy has been a beekeeper for 12 years and has about 40 hives. His farm produces honey, pollen, blueberries, garlic and much more! When he is not tending his own farm, Buddy enjoys teaching others about beekeeping. He is offering his own introductory beekeeping hands-on workshops. He also teaches more advanced beekeeping courses through Furman's OLLI program. Mayfarmsllc.com",
Merciful Hearts Farm,"Merciful Hearts Farm is a family farm producing free-range eggs & fiber items, including yarns & feltwork. Their birds live among the sheep, goats, cattle & donkeys. They shear their own sheep & use only the best of fleeces. This tender-hearted family has adopted many animals that others see little value in & that need extra care & love. Deb writes & hands out a weekly farm story & also helps folks make their own friendship bracelets with a special twist. Mercifulheartsfarm.virb.com",https://www.facebook.com/pages/Merciful-Hearts-Farm/497585285432?sk=timeline
Mercy Verity Candles,"Mercy Verity Candles handcrafts soy candles using vintage inspired jars and antiqued lids that are reminiscent of simpler times. Every artisan candle is hand-poured from a small batch, made with 100% natural soy wax, cotton wicks and a blend of phthalate-free fragrance & essential oils. Fragrant to the very last burn! Simple. Modern. Rustic. Mercyveritycandles.com",https://www.facebook.com/pages/Mercy-Verity-Candles/114008048692146
Mike Merritt Artwork,"Mike Merritt birdhouses are designed to attract common backyard songbirds that live in every state throughout the US such as Wrens, Chickadees, Nuthatches,  Tufted Titmouse, Black-capped Chickadees, Bluebirds and more. The woven barn metal provides the perfect amount of air flow to ward off bacteria and mold growth and it also allows any moisture to drain which prevents splitting. The fact that there is no perch for predators to land on assures that the hatchlings are safe. The roof and sides are made using beautifully aged, reclaimed roofing tin from old, dismantled barns and chicken coops. Mikemerrittart.com",https://www.facebook.com/MikeMerrittArtworks?ref=hl
MoCa KaBranola,"MoCa KaBranola is an artisanal granola company whose mission is to provide the ultimate granola experience to everyone who tastes it. Mocakabranola.com",https://www.instagram.com/mocakabranola/
Mushroom Mountain,"Tradd & Olga Cotter with Mushroom Mountain has been cultivating mushrooms both commercially & experimentally for 21 years. He started Mushroom Mountain in 1996 & has expanded into other areas such as myco-remediation, fungal-based pesticides, & other products that could help protect against environmental pollution and overcrowding pressure. Mushroommountain.com",https://www.facebook.com/MushroomMountainFarm/timeline
Naked Pasta,"Naked Pasta is a family-owned and operated small business in Greenville. They proudly partner with farmers in the Upstate to use seasonal fresh produce and cheeses in weekly offerings. They offer artisan pastas, raviolis, sauces, gourmet spreads and more using fresh produce, cheeses and meats from local farmers. Everything is freshly made... with nothing to hide.",https://www.facebook.com/pastagreenvillesc
Nellie T's,"Simply put, Nellie T’s makes the best Southern specialty food products, period.  We use only the finest ingredients to produce a taste treat that will take you back to your childhood with friends and family. Nelliets.com",https://www.facebook.com/NellieTs/?fref=ts
No Evil Foods,"No Evil Foods was born in 2014 out of a desire to offer the best & most sustainable proteins on the market. Seeking an alternative to laboratory created vegetarian mystery meats and the harsh realities of factory farming, owners Sadrah Schadel & Mike Woliansky set out on a mission to make bold, full-flavored plant meats that are environmentally friendly, cruelty free & damn delicious! All plant meats are made from scratch & by hand with all organic & non-GMO ingredients. Noevilfoods.com",https://www.facebook.com/noevilfoods
Papi's Tacos,"Papi's Tacos could be described as a “stationary taco truck.” The menu is short and simple. Tacos, tortas, salsas and dips are all made using the same authentic flavor combinations that “Papi” and his family grew up learning to use. In true Table 301 style, the taqueria offers fresh ingredients, handled with care and love. Papi’s Tacos will be bringing various items from their menu to the TD Saturday Market each week, so be sure and bring your appetite. Eatpapistacos.com",https://www.facebook.com/eatpapistacos
"Peace, Love and Soap","Peace, Love & Soap aims to provide a positive customer experience and bring a little piece of heaven to every cleansing experience by providing high quality handmade products using only the finest ingredients. They feature handmade soap, lotion, bath salts and lip balm. Peaceloveandsoap.com",https://www.facebook.com/pages/Peace-Love-Soap/120025958019193
Perdeaux Fruit Farm,"Perdeaux Fruit Farm grows 12 types of deciduous fruits--approx.110 varieties. The large number of varieties are grown so each type fruit can be harvested tree and vine ripe for as long a season as possible. Along with selling it's fresh fruits and processed products at TD Saturday market. Perdeaux has a retail market with a fruit processing room on S.C. Scenic Hwy. 11 in northern Greenville county. 
Perdeaux makes 12+ kinds of fancy fresh fruit preserves, jellies and sauces. Along with just about the best fresh apple cider and fresh apple sauces you have ever tasted. Perdeaux has pure mountain honey made by their bee right on the farm. Can take walking tour of this beautiful ""foothills"" fruit farm--no charge. Carolinafarmers.com/perdue",https://www.facebook.com/Perdeaux
Pysanky by Pastor,"Steve Saxe of Pysanky by Pastor brings the ancient Ukrainian art of psyanky to the Upstate. Historically, the intricate patterns on the eggs carry meanings, carefully guarded & passed down from mother to daughter. Pastor Steve uses water-based dyes & raw beeswax applied with an electric stylus to paint chicken, duck and goose eggs with time-honored designs. Moving from light to dark, adding more wax designs at each color change, the eggs become both bold and delicate, striking works of art.",
Reedy River Farms,"At Reedy River Farms, we grow high quality vegetable produce on a one(1)-acre plot less than a mile away from the center of Downtown Greenville. Being so close to town has its advantages: we are able to provide the most nutritious and flavorful food possible to our local food outlets and restaurants. To overcome the disadvantage of working on a small land base, we utilize every square foot of garden space by growing intensively and building soil organically to produce the highest quality of fruits and vegetables available. By reducing or even eliminating transportation energy and pesticide use, we are taking the first step towards a more sustainable food system. Reedyriverfarms.com",https://www.facebook.com/Reedy-River-Farms-484137671741940/
Rio Bertolini,"Rio Bertolini's is a fresh-cut pasta maker from Charleston, South Carolina. They offer new flavors and cuts of pasta all the time, and most of the items they bring to the TD Saturday Market are sold out by closing time. The pasta company also prepares take-home and family-size portions of manicotti and lasagna, as well as sauces like sage brown butter. Riobertolinispasta.com",https://www.facebook.com/riobertolinisfreshpasta?fref=ts
Screamin' Good,"People with dietary intolerance to gluten will find Screamin' Good's gluten-free products to be just the answer to their quest for great tasting baked treats without the discomfort that gluten can cause. They have developed a unique method of gluten-free baking, which makes their products difficult to distinguish from, and perhaps even better than, those baked with traditional flours. All of their products are gluten-free, low in sugar, high in fiber and diabetic-friendly. Screamingood.com",https://www.facebook.com/ScreaminGood
Sea Eagle Market,"Sea Eagle Market brings the freshest seafood from the South Carolina coast to the Upstate of South Carolina. All seafood is harvested in South Carolina and is sustainable and eco-friendly. As the seafood seasons change, so will their products. Seaeaglemarket.com",https://www.facebook.com/SeaEagleMarketBft/?fref=ts
Sixteen Acre Wood,"Sixteenacrewood creates fusions of art and wood from reclaimed local fallen trees that are normally sent to the landfill. Their philosophy is to apply the concept of permaculture to furniture making and the urban forest. The waste material from one venture should become the raw material for another venture. Sixteenacrewood.com",https://www.facebook.com/stephen.owen.906?fref=ts
Soby's on the Side,"A long time sponsor, Soby's on the Side will be serving up food at the market every Saturday. Soby's on the Side is a deli-bakery that serves breakfast, lunch and a delicious selection of baked goods. First opening in the summer of 2001, Soby's on the Side was the second establishment built in the Table 301 family of restaurants and is located right around the corner from Soby's, on Court Street in downtown Greenville. Sobysontheside.com",https://www.facebook.com/sobysontheside
Spinning Spider Creamery,"Spinning Spider Creamery is a fully licensed artisan dairy offering a variety of fresh and aged goat and cow milk cheeses. They hand-craft select fresh, bloomy rind, and raw milk aged cheeses with state of the art equipment and solar technology. Their cheeses as well as their goats have won recognition regionally and nationally. They are a family business dedicated to the lifestyle of raising healthy children and goats on their family farm. Spinningspidercreamery.com",https://www.facebook.com/pages/Spinning-Spider-Creamery/135990076422331?fref=ts
Split Creek Farm,"Split Creek Farm specializes in award-winning farmstead goat cheeses, goat milk fudge and goat milk yogurt. Production has grown from the original four-gallon vat batches in 1988 to the current 150-gallon vat operation. Their certified goat herd produces all the milk used for its cheese and fudge and competes nationally in the show ring and for milk production records. Herd health and the ultimate quality of the dairy products are the primary concern of the owners. Splitcreek.com",https://www.facebook.com/pages/Split-Creek-Farm/163620308361?fref=ts
Sproingers Dryer Balls,"Sproingers are 100% wool dryer balls. A natural fabric softener, wool absorbs static cling and fluffs clothing. Sproingers Dryer Balls are infused with dried lavender, along with lavender essential oil. You can refresh your Sproinger by adding your favorite essential oil or scent.",
Spurgeon Farms,Spurgeon Farms was established in Taylors in May 2003 by Dodi & Alton Spurgeon. The farm produces an abundance of chemical-free fruits and vegetables year-round. Vegetables range from the traditional to the unusual. Dodi's kitchen is the center of attention during the growing season.,https://www.facebook.com/pages/Spurgeon-farms/402556246503239?fref=ts
Super 'Nola Natural,"Super 'Nola Natural was created through an earnest desire to jumpstart your day with a breakfast that was high in fiber and protein, contained no refined sugar and was chock full of whole foods, real foods, natural foods, super foods! All products are made in Greenville, South Carolina, using as many locally sourced ingredients as possible. Supernolanatural.com",https://www.facebook.com/Super-Nola-Natural-1375880776037791/?fref=ts
Swamp Rabbit Cafe & Grocery,"The Swamp Rabbit Cafe and Grocery uses high-quality ingredients including King Arthur Artisan flours, local dairy products and seasonal/organic produce which come from within 150 miles of Greenville when possible. Swamprabbitcafe.com",https://www.facebook.com/pages/Swamp-Rabbit-Cafe-and-Grocery/177010222350810?fref=ts
T & L Enterprises,"T&L Enterprises features many different varieties of orchids, pitcher plants, bromeliads, calla lilies, gardenias and various other houseplants. With plants started during the winter months in Florida and then transplanted up in Landrum, South Carolina, T&L Enterprises brings a bit of tropical flare to the Upstate.",
The Happy Berry,"The Happy Berry Inc. is located on the eastern shore of Lake Keowee in Pickens County, South Carolina. It is a pick-your-own small fruit farm with blackberries, blueberries, muscadines, grapes and figs available in-season. The season is June through September in most years. Pre-picked berries are also available on the farm. Thehappyberry.com",https://www.facebook.com/pages/The-Happy-Berry/106112095866?fref=ts
Three Graces Dairy,"Three Graces Dairy produces farmstead cheeses made with milk from the their herds of cows, goats and sheep. All of their ""farm pets"" are spoiled rotten on a diet of healthful grain, supplements and free range pastures managed without the use of herbicides or pesticides. Their farm & dairy is a small-scale multi-tasking environment employing local people who share their knowledge of the community and their wisdom in all things land and animal. 3gracesdairy.com",https://www.facebook.com/pages/Three-Graces-Dairy/1538054786416509?sk=info&tab=overview
Thrive Upstate,"The Generous Garden Project brings together community agencies to expand inclusion and employment opportunities for people with significant disabilities, who learn to cultivate, grow, and harvest vegetables, plants, flowers, and trees to be used or sold throughout the County of Greenville and Upstate South Carolina.",https://www.facebook.com/ThriveUpstate
Traditional Fermentations,Traditional Fermentations focuses on natural lactic acid fermentations in foods to aid in improving immune function and digestive health.,https://www.facebook.com/pages/Traditional-Fermentations/1577465049165860?sk=timeline
Tyger River Smart Farm,Tyger River Smart Farm uses a state-of-the-art hydroponic greenhouse to supply plants with ideal growing conditions. A constant stream of nutrient-infused water is supplied to the roots of a plant without the use of soil thus their plants never touch a single grain of dirt. Produce is harvested with the roots still attached and will stay just-picked-fresh for several weeks in the refrigerator. Tygerriversmartfarm.com,https://www.facebook.com/TygerRiverSmartFarm/timeline
Watsonia Farms,"For the past four generations, the Watson family has brought the best in fruit and produce to South Carolina. Using cutting-edge agricultural practices, they provide some of the best fruit and produce anywhere, at a price you can afford. Watsonia has food safety certifications through the USDA and Primus, and organic certification from the Clemson University Department of Plant Industry and USDA National Organic Program. Watsoniafarms.com",
Tyger Valley Farm,"Tyger Valley Farm was established in 2010 in Woodruff SC after moving the farm from upstate NY. Tyger Valley Farm grows shrubs, bulbs, perennials, annual flowers from seed, herbs and even collect weeds for the most beautiful and unique mixed bouquets. Because of their extensive collection of plants every week the selections change. Tyger Valley Farm services the TD Saturday Market with farm fresh flowers from the first week in May until the first freeze in the fall.",https://www.facebook.com/pages/Tyger-Valley-Farm/212555612132597?sk=timeline
Upstate Greens,"Upstate Greens is an urban farm that produces various varieties of leafy greens and micro greens in a 40′ refrigerated shipping container. Launched in 2015, Upstate Greens uses all natural growing methods, organic soils and feed, and non treated seed. Upstategreens.com",http://www.farmvetco.org/homegrown-by-heroes/
Watsonia Farms,"For the past four generations, the Watson family has brought the best in fruit and produce to South Carolina. Using cutting-edge agricultural practices, they provide some of the best fruit and produce anywhere, at a price you can afford. Watsonia has food safety certifications through the USDA and Primus, and organic certification from the Clemson University Department of Plant Industry and USDA National Organic Program. Watsoniafarms.com",
West End Coffee Roasters,"West End Coffee Company is a series sponsor and will be at the market every Saturday selling hot coffee and whole bean and ground coffee. Some of their most popular varieties include Jamaican Me Crazy, Smoky Mountain Blend and Biltmore Blend, along with many others. Westendcoffee.com",https://www.facebook.com/WestEndCoffeeCo?fref=ts
Whitewater Products,"Whitewater Products is a family-based nursery out of Salem, South Carolina. They have been a loyal TD Saturday Market vendor since 2011.",https://www.facebook.com/Whitewaterproducts
Wild Salmon Co.,"Wild Salmon Co. is a family run outfit committed to providing customers with wild caught Alaska salmon. Each summer they head to Alaska to participate in the largest Sockeye salmon fishery in the world. After their salmon are caught, they are placed into an icy bath that quickly cools them & then delivered to a processing facility to preserve the ""just-caught"" freshness. The salmon is then transported by barge to Seattle & trucked across the country to the Carolinas. Thewildsalmonco.com",https://www.facebook.com/pages/Heidis-Wild-Salmon/270656416343588?fref=ts
