Hill Bros. Orchards LLC,"Hill Bros. Orchards has been a family tradition for generations. Head for the Hill's and make us a part of your family's tradition. We offer a variety of fresh apples, our award winning apple cider, private label preserves, jellies, butters and more! Our cider mill is open to the public during the fall months.",,,Kent,"6159 Peach Ridge Ave NW, Grand Rapids, MI 49544, USA",6159 Peach Ridge Ave NW,Grand Rapids,MI,49544,(616) 784-2767,to the public during the fall months,-85.748459,43.07819
Fisher's Blueberry Farm,"U-pick and ready-picked blueberries, picnic areas, playground and restroom.",,http://fishersblueberryfarm.com/,Saginaw,"4532 N Steel Rd, Hemlock, MI 48626, USA",4532 N Steel Rd,Hemlock,MI,48626,(989) 642-5361,,-84.287712,43.474941
Rennhack Orchards Market Inc.,"We provide high quality fresh fruits and vegetables grown on our own farm. These include sweet cherries, tart cherries, peaches, plums, nectarines, apricots, apples, tomatoes, sweet corn, pumpkins, and squash.  We are known for our abundant selection of cherries and apples.  We also have dried cherries and local made jams.",tim@rennhackorchardsmarket.com,http://www.rennhackorchardsmarket.com/,Oceana,"3731 W Polk Rd, Hart, MI 49420, USA",3731 W Polk Rd,Hart,MI,49420,(231) 873-7523,,-86.369049,43.688534
Boyne City Farmers Market,"Your local Market's vendors all bring you locally-grown and made delicacies from within a 30-mile radius, such as seasonal fruits and vegetables; gourmet preserves and baked goods; honey & maple syrup; meat, poultry and eggs; cut flowers; perennials and annuals, trees and shrubs; a juried hand-crafted section and much more!",manager@boynecityfarmersmarket.org,,Charlevoix,"207 N Lake St, Boyne City, MI 49712, USA",207 N Lake St,Boyne City,MI,49712,(231) 582-9009,,-85.014595,45.217327
Downtown Big Rapids Farmers' Market,"Lively market in Historic Downtown Big Rapids offering a wide variety of fruits, vegetables, plants, flowers, and baked goods. Open May-October, Tuesday 2:00pm-6:00pm and Friday 8:00am-2:00pm.",downtownbigrapidsfarmersmarket@ymail.com,,Mecosta,"226 N Michigan Ave, Big Rapids, MI 49307, USA",226 N Michigan Ave,Big Rapids,MI,49307,(231) 592-4018,"May-October, Tuesday 2:00pm-6:00pm and Friday 8:00am-2:00pm",-85.481499,43.700775
Elk Rapids Farmers Market,"Fresh produce from local farmers, flowers, snacks, and more at the Elk Rapids Area Farmers Market! Fridays from 8 am to 1 pm beginning June 7 through October 11.",aspence@elkrapidschamber.org,,Antrim,"305 US-31, Elk Rapids, MI 49629, USA",305 US-31,Elk Rapids,MI,49629,(231) 264-8202,,-85.409569,44.896172
Midland Area Farmers Market,"The Midland Farmers Market is located at the round structure at the end of Ashman Street near the Tridge in Downtown Midland (behind the H Hotel). The Market operates on Wednesdays and Saturdays from May through October. the Wednesday market operates from 2-7 p.m. and the Saturday market is open from 7 a.m.-1 p.m. In 2017, the Market will be open from Saturday, May 6 until October 28. Area farmers and vendors sell a variety of seasonal fresh fruits and vegetables, meat, eggs, fresh fish, herbs, plants, flowers, chocolates, honey, maple products, and baked goods. There are stalls available for rental on daily basis ($25/day), all vendors must fill out an application available through the Midland Area Chamber of Commerce. For details, visit www.macc.org.",chamber@macc.org,http://www.macc.org/Midland-Area-Farmers-Market,,,,,,,(989) 948-0071,from 7 a,-84.247549,43.611675
Ithaca Farmers Market,"Experience Ithaca's agricultural heritage. Fresh local produce available every Saturday morning, June-October.",,http://www.ithacami.com/1/260/farmers_market.asp,Gratiot,"129 W Emerson St, Ithaca, MI 48847, USA",129 W Emerson St,Ithaca,MI,48847,(989) 875-3200,,-84.608047,43.292957
"Orchard Market, Inc.","Homegrown and locally grown produce. Garden center, jams, jellies, honey, bakery, cherry juice, packaged candies, nuts, etc. Also includes a family restaurant and bakery with homemade soups, pies, chicken and more. In the fall we have apples, pumpkins, squash and extra large cabbage and all the fall decorating you need. Open May-September Monday-Sunday 8:00am-7:00pm, and October-November, Monday-Sunday 8:00am-6:00pm.",,http://www.orchardmarket.us,Mason,"8400 US-31, Free Soil, MI 49411, USA",8400 US-31,Free Soil,MI,49411,(231) 464-5534,"May-September Monday-Sunday 8:00am-7:00pm, and October-November, Monday-Sunday 8:00am-6:00pm",-86.279999,44.108494
Andy T's Farm,"A family fun farm with a fresh fruit and vegetable market, flowers, nursery stock, u-pick, hayrides, holiday trees, a farm fresh bakery, six acre corn maze, petting farm, straw maze and make your own caramel apples. Stop by for locally grown produce and lots of weekend activities. We give tours of this mint farm! Open April through December, seven days a week.",andyts@charter.net,http://www.andyts.com/,Clinton,"3131 Old U.S. 27, St Johns, MI 48879, USA",3131 Old U.S. 27,St Johns,MI,48879,(989) 224-7674,"April through December, seven days a week",-84.542618,42.970383
Historic Farmers' Market of Lapeer,"The Lapeer Farmers Market has grown into the county's largest open air market with fresh locally grown produce, handmade crafts, fresh honey, baked goods and lots more. We are located on Nespessing St in downtown Lapeer, on the Historic Courthouse Square. Open every Wednesday and Saturday from 9 am to 2 pm from May  through October.",kdjckk@hotmail.com,http://www.historicfarmersmarketoflapeer.com/,Lapeer,"W Nepessing St, Lapeer, MI 48446, USA",W Nepessing St,Lapeer,MI,48446,(810) 882-8032,"air market with fresh locally grown produce, handmade crafts, fresh honey, baked goods and lots more",-83.31398,43.053173
Leaman's Green Applebarn & Cider Mill,"Apples, Blackberries, Fall Decorative Produce,(when in season). Gift Shop, Farm tours for groups, schools and families (must make an appointment). Apple Cider pressed on our farm. Cider Slushes. Fresh donuts and baked goods. Jams and jellies. Play Area and Mazes (admission fee).",jayealan@tm.net,http://www.greenapplebarn.com/events2007.htm,Saginaw,"7475 N River Rd, Freeland, MI 48623, USA",7475 N River Rd,Freeland,MI,48623,(989) 695-2465,,-84.128128,43.517429
Willow Mercantile,"Willow Mercantile is a specialty food and produce market featuring a wide selection of craft beers and wines.  We carry many local and Michigan-made products, with produce from area farms available seasonally.  May through June we also open our greenhouse offering flats of flowers and vegetables, hanging baskets and perennials to choose from.",bjones@willowmercantile.com,http://www.willowmercantile.com,Wexford,"916 S Mitchell St, Cadillac, MI 49601, USA",916 S Mitchell St,Cadillac,MI,49601,(231) 468-2684,"our greenhouse offering flats of flowers and vegetables, hanging baskets and perennials to choose from",-85.396439,44.241993
TLC Hydroponics Inc.,"TLC Hydroponics is a hydroponic producer of Bibb lettuce and several varieties of Heirloom and Cherry tomatoes, located in Suttons Bay. Vegetables produced at the facility are distributed throughout Michigan and found in many fine restaurants and retail establishments. Onsite is a farm store which features all products produced on the farm as well as many other products from local farms and food/beverage producers. Tours are available June - September. During the peak growing season the TLC Hydroponics farm offers a unique perspective of alternative agricultural production. The methods used in production use considerably less water than field grown crops and allow for an extended growing season that yields a much earlier first harvest. To schedule a tour of our innovative facility please call ahead.",tanner.ciganick@tlchydroponics.com,http://www.tlchydroponics.com,Leelanau,"4030 N Setterbo Rd, Suttons Bay, MI 49682, USA",4030 N Setterbo Rd,Suttons Bay,MI,49682,(231) 735-4019,,-85.678474,45.039852
East Jordan Farmers Market,Every Thursday Starting Mid May thru October from 9am - 1pm . Located at Sportsman's Park off M32 by the bridge. Product Fresh coupons are accepted for fresh fruits and produce. Several local farm vendors bring an abundance of seasonally available products as well as locally produced baked goods.,EJmarketmaster@gmail.com,,Charlevoix,"85 Bridge St, East Jordan, MI 49727, USA",85 Bridge St,East Jordan,MI,49727,(231) 342-2385,,-85.132996,45.152328
Polzin Farms,"All produce grown on our own farm and picked fresh daily. Open Mid-July-October, Monday-Sunday 11:00am-6:00pm.",,,Genesee,"14467 Morrish Rd, Montrose, MI 48457, USA",14467 Morrish Rd,Montrose,MI,48457,(989) 239-7463,"Mid-July-October, Monday-Sunday 11:00am-6:00pm",-83.839188,43.176922
Spring Lake Farm & Garden Market,"Enjoy this open air market featuring seasonal produce, fresh cut flowers, plants, garden items and more. Open every Thursday from 9am– 2pm, June thru mid October downtown Spring Lake in the parking lot of Harvest Bible Chapel, just east of the library.",cgeurink@grandhavenchamber.org,https://www.facebook.com/GHSL.FarmersMarkets,Ottawa,"225 E Exchange St, Spring Lake, MI 49456, USA",225 E Exchange St,Spring Lake,MI,49456,(616) 842-4910,"air market featuring seasonal produce, fresh cut flowers, plants, garden items and more",-86.196999,43.076962
Sleeping Bear Orchards,"Farm stand located one mile north of Empire on east side of M-22. Products include cherries, peaches, apples, strawberries, blueberries, jams and dried cherry products.",info@sleepingbearorchards.com,,Leelanau,"Empire, MI 49630, USA",,Empire,MI,49630,(231) 326-3276,,-86.019463,44.812561
Garden Farm Vineyard,"Farm includes an apple orchard, general farm, livestock, farm stand.  Tours of the farm and vineyard available.",greengardenfarm@hotmail.com,,Delta,"5856 Nn Rd, Garden, MI 49835, USA",5856 Nn Rd,Garden,MI,49835,(906) 644-7089,,-86.564255,45.748676
Berry Creek Farm,"U-Pick or they pick (call in orders) in a relaxing farm atmosphere.  Complete line of fall decorations including Indian corn, straw, cornstalks, gourds, tomatoes, strawberries and pumpkins (in season).  Lose yourself in the Corn Maize each harvest season.",,,Bay,"6745 S Euclid Ave, Bay City, MI 48706, USA",6745 S Euclid Ave,Bay City,MI,48706,(989) 684-1655,,-83.916084,43.557945
Woodland Farm Market,"Specializing in Award winning pies and Aunt Mary's cakes. Come in and watch our pie maker bake amazing pies using Michigan berries. Treat yourself to fresh homemade donuts. On your way out, pick up a jar of our homemade jams and jellies, honey,maple syrup and locally grown produce.",woodlandfarmmarketandbakery@yahoo.com,http://woodlandfarmmarketandbakery.com/,Oceana,"5393 W Shelby Rd, Shelby, MI 49455, USA",5393 W Shelby Rd,Shelby,MI,49455,(231) 861-5380,,-86.410828,43.607601
Solon Township Farmers Market,"Solon Township Farmer's Market and Crafts is located between 18 and 19 Mile Rd. in Kent County. The market occupies a picturesque horse stable and the surrounding area. It opens every Saturday, May through September rain or shine at 8 am and runs to 1 pm. Solon's market is free to vendors and operates on a first come basis. We also have a flea market which runs concurrent with the farmers market. For more information, call our number listed above or visit us on facebook.",adminasst@solontwp.o&#8203;rg,,Kent,"15185 Algoma Ave NE, Cedar Springs, MI 49319, USA",15185 Algoma Ave NE,Cedar Springs,MI,49319,(616) 696-1718,"s every Saturday, May through September rain or shine at 8 am and runs to 1 pm",-85.61113,43.240993
Mi Farm Market,"Mi Farm Market features over 300 farm market products from 22 growers local to the Northwest Michigan region. Not only can customers shop by category or vendor, but they can also mix and match products to design their own Michigan themed gift basket. Stop by our workshop or visit us online to create your own basket. These gift baskets are contained in our own hand crafted wood orchard crates which we manufacture on site. We pride ourselves in supporting our local economy and local community organizations in all we do.",info@mifarmmarket.com,http://mifarmmarket.com/about,Antrim,"6519 Center St, Ellsworth, MI 49729, USA",6519 Center St,Ellsworth,MI,49729,(231) 753-8682,,-85.241699,45.170689
Hanulcik Farm Market,The market is open seasonally during harvest times from June till October:  Mid-June: Strawberry Season; late July/Early August: Peach Season; Mid-August/September: Plums and nectarines; and late August/Early September through October: apples.,hanulcikfarm@gmail.com,http://webpages.charter.net/hanulcik/,Ionia,"1425 N State Rd, Ionia, MI 48846, USA",1425 N State Rd,Ionia,MI,48846,(616) 527-3630,seasonally during harvest times from June till October:  Mid-June: Strawberry Season; late July/Early August: Peach Season; Mid-August/September: Plums and nectarines; and late August/Early September through October: apples,-85.075096,43.008804
Frankenmuth Farmers Market,"Fresh, local produce and so much more, 9am-1pm Saturdays May-Oct. and 3-6pm Wednesdays June-September between Davincis & Frankenmuth Credit Union!",frankenmuthfarmersmarket@gmail.com,http://www.frankenmuthfarmersmarket.org/,Saginaw,"534 N Main St, Frankenmuth, MI 48734, USA",534 N Main St,Frankenmuth,MI,48734,(989) 607-9214,,-83.738879,43.344311
Downtown Petoskey Farmers Market,"Enjoy a wide variety of goods farmed, fished and/or foraged in Northern Michigan on Friday's in beautiful Downtown Petoskey from 8:30 a.m. -1:00 p.m.",nikki@petoskey.com,,Emmet,"400 Howard St, Petoskey, MI 49770, USA",400 Howard St,Petoskey,MI,49770,(231) 347-4150,,-84.955605,45.373981
Moelker Orchards & Farm Market,"Since 1907, the Moelker family has been growing fruit on the same farm just west of Grand Rapids, Michigan. Quality has always been our hallmark and it remains so today! We grow and sell a wide variety of tree fruits including apples, peaches, pears, plums and cherries.  Our farm market is open for Cherries the first part of July and for our fall and winter season from August through the end of January (see our Hours page). In addition to our fruit, the farm market has a wide variety of delicious jams, fruit salsas, and other local Michigan products. In the fall, we offer many fun family activities. Ranging from horse-drawn wagon rides, U-pick pumpkin patch to special events on Saturdays. During the holiday season, we are your one stop shop for custom gift baskets and fruit baskets. Check out our web store for great products that you can have shipped anywhere in the Continental U.S.A.  Our Old Bell Bakery has delicious donuts, fudge, cookies, pastries, apple dumplings, & caramel apples made fresh from August until December. We also have frozen, ready to bake pies.",moelkerorchards@gmail.com,http://www.moelkerorchards.com/,Ottawa,"9265 Kenowa Ave SW, Grand Rapids, MI 49534, USA",9265 Kenowa Ave SW,Grand Rapids,MI,49534,(616) 453-2585,for Cherries the first part of July and for our fall and winter season from August through the end of January (see our Hours page),-85.78392,42.937141
AJ's Farm,"AJ's has been in operation since 1997 when AJ, at the age of 14, had a passion for farming. He started out with 1/4 acre of strawberries and a lot of faith. Since then, the farm has expanded to include, raspberries, pumpkins, squash, a variety of seasonal fruits and vegetables, an on-farm market. Open year round. Call ahead for daily information on U-Picks.",ajsberryfarm@gmail.com,http://www.ajsberryfarm.com,Alpena,"1150 Salina Rd, Lachine, MI 49753, USA",1150 Salina Rd,Lachine,MI,49753,(989) 379-3061,year round,-83.757431,45.062061
Parker's Orchard,"A seasonal apple orchard with a roadside market.  Features fresh apples from September to January, fresh cider beginning Mid-September to January, cinnamon donuts, honey, popcorn, etc.",gneparker@juno.com,,Tuscola,"8355 Oak Rd, Millington, MI 48746, USA",8355 Oak Rd,Millington,MI,48746,(989) 871-3031,,-83.500504,43.286282
Warmbier Farms,"It’s easy to lose yourself at Warmbier Farms among the many antiques, home decorations and acres of dries flowers. This unique farm is home to over 60 dried flowers and herbs and offers more than 100 varieties of fresh herb plants. The Warmbier family hosts special events throughout the year and are happy to lead hands-on workshops.",garden@warmbierfarms.com,http://www.warmbierfarms.com/,Bay,"5300 Garfield Rd, Auburn, MI 48611, USA",5300 Garfield Rd,Auburn,MI,48611,(989) 662-7002,,-84.089867,43.587765
Harrietta's Blueberry Hill,Features great blueberries in season and a great view. 12+ varieties. U-pick farm opened approximately mid-July into September.,,,Wexford,"1714 S 11 1/2 Rd, Harrietta, MI 49638, USA",1714 S 11 1/2 Rd,Harrietta,MI,49638,(231) 389-2317,ed approximately mid-July into September,-85.710892,44.309265
Farmer White's,"Season starts with sweet cherries. Some cherry varieties u-pick. Fresh and frozen, pitted sour cherries. Blueberries, raspberries, corn and fresh garden vegetables in late July. Peaches, pears, plums and early apples in Aug. 27 varieties of Fall apples including Gingergold, Honeycrisp and Northern Spy. Dried cherries and cherry concentrate. Fresh daily McColley pies. Open daily July through October.",farmerwhites@gmail.com,http://www.facebook.com/pages/Farmer-Whites/10150130245390176,Antrim,"11373 US-31, Williamsburg, MI 49690, USA",11373 US-31,Williamsburg,MI,49690,(231) 632-1500,daily July through October,-85.419312,44.869003
"Brubaker's Farm Market, LLC","We are a seasonal farm market carrying fresh fruit and vegetables along with baked goods, pickled aparagus, cherry products, snacks, cold drinks, ice, firewood and more. We also have gift items, including John Deere logo items, nature books, cook books, post cards, t-shirts, mugs, etc.",bill@brubakersfarmmarket.com,,Oceana,"2357 N 56th Ave, Mears, MI 49436, USA",2357 N 56th Ave,Mears,MI,49436,(231) 873-1433,,-86.418533,43.688126
Ed Dunneback & Girls Farm,"Family owned since 1925. Apples, squash, tomatoes, pumpkins, honey, bakery items and many other seasonal items. Cooking demonstration. Open Monday - Saturday 9 am - 6 pm and Sunday 11 am - 6 pm.",dunnebackfruit@aol.com,http://www.dunnebackfarm.com/,Kent,"3025 6 Mile Rd NW, Grand Rapids, MI 49544, USA",3025 6 Mile Rd NW,Grand Rapids,MI,49544,(616) 784-0058,Monday - Saturday 9 am - 6 pm and Sunday 11 am - 6 pm,-85.745987,43.06097
Grange Fruit Farm,"U-Pick Honeycrisps, Sweet/Tart Cherries, Peaches, Nectarines, Plums, Raspberries and Blackberries.",,http://www.grangefruit.com/,Kent,"10724 Grange Ave NE, Rockford, MI 49341, USA",10724 Grange Ave NE,Rockford,MI,49341,(616) 862-5408,,-85.625977,43.159191
West Branch Farmers' Market,West Branch Farmers` Market with homegrown/homemade products from our local Farmers. The Market is located in Downtown Victorian West Branch. Just off Houghton Avenue on South 3rd St. Each and Every Saturday starting July 5 and ending October 4 from 8am - 1pm.,cityhall@westbranch.com,http://www.westbranch.com/residents/farmers_market/index.php,Ogemaw,"121 N 1st St, West Branch, MI 48661, USA",121 N 1st St,West Branch,MI,48661,(989) 345-0500,,-84.235748,44.276459
Almar Orchards,"Family-owned and nurtured since 1885, tour this 500 acre orchard with organic meadows, pastures, woods and creeks. Enjoy farm animals, a playground, picnic area and Farm Market. With over 30 varieties of apples, Almar produces one of the best tasting apple ciders, J.K.'s Scrumpy Farmhouse Organic. This fresh-sweet fermented hard cider has no artificial flavors, additives or preservatives. It is fermented using only natural aging to turn Almar apples into a sparkling refreshing drink.",almarorchards@gmail.com,http://www.almar-orchards.com/,Genesee,"1431 Duffield Rd, Flushing, MI 48433, USA",1431 Duffield Rd,Flushing,MI,48433,(810) 659-6568,,-83.911346,43.027363
Grayling Farmers Market,"This is a seasonal open air market featuring home grown vegetables, fruit, breads, honey, maple syrup and more. Every Thursday, 2 - 6 pm for June & July, 2012. Saturdays from June 9-October, 9am-1pm.",bhubbard@cityofgrayling.org,http://www.cityofgrayling.org/FarmMarket/tabid/6681/Default.aspx,Crawford,"Michigan Ave, Grayling, MI 49738, USA",Michigan Ave,Grayling,MI,49738,(989) 619-3539,"air market featuring home grown vegetables, fruit, breads, honey, maple syrup and more",-84.712097,44.663376
The Fox Barn Market & Winery,"The Fox Barn Market & Winery is a family owned business in Oceana County. We grow asparagus, sweet & sour cherries, peaches, pears & apples and offer other locally grown fruits & vegetables. The Market also carries a variety of specialty foods & gifts. The newest addition to The Fox Barn is the Winery, complete with a tasting bar. We offer traditional grape wines & our own cherry, pear wines. Come visit our historic barn & winery.",info@thefoxbarn.com,http://thefoxbarn.com/,Oceana,"500 S 18th Ave, Shelby, MI 49455, USA",500 S 18th Ave,Shelby,MI,49455,(231) 861-8050,,-86.512207,43.633366
Port Austin Farmer's Market,"Port Austin Farmer's Market and ""More"" is open every Saturday, 9am to 1pm, May thru October featuring over 100 vendors. Market items include fresh produce, flowers, baked goods, nursery items, fresh meats, fish, dairy products and a full array of specialty food products. A separate two acre site features a large assortment of artisans, crafters, antiques, etc.",PACofC@airadv.net,http://portaustinfarmersmarket.com/,Huron,"Lake St & W State St, Port Austin, MI 48467, USA",Lake St,Port Austin,MI,48467,(989) 738-7600,"every Saturday, 9am to 1pm, May thru October featuring over 100 vendors",-82.993858,44.044811
